Page,Edits,Editors,Views,Mobile %
"AMBEV",0,0,941294,83.1
"Cleópatra",0,0,739783,99.4
"Campeonato Europeu de Futebol de 2020",417,40,289692,71.9
"Lázaro Barbosa (criminoso)",1,1,281978,85.6
"Corpus Christi",7,7,273457,91.8
"Livro de São Cipriano",3,3,266931,89.9
"Campeonato Europeu de Futebol",48,14,261747,77.0
"TV Senado",1,1,228153,85.5
"Pedro Dom",8,4,196065,89.4
"Área Metropolitana de Lisboa",2,2,192732,73.4
"Pedrinho Matador",11,8,185768,80.9
"Star Life Brasil",0,0,177277,63.1
"Brasil",5,4,174213,69.1
"Copa América",17,9,164026,75.4
"Sony Channel",0,0,161551,76.7
"Canal Brasil",3,3,155727,76.6
"Cristiano Ronaldo",17,11,153563,80.4
"Lista de países por população",1,1,151395,78.4
"Lázaro Barbosa",15,7,136665,90.9
"Parque Nacional de Big Bend",0,0,132490,100.0
"Copa do Mundo FIFA",3,3,129400,77.3
"Signo astrológico",0,0,116831,90.6
"Sweet Tooth (série de televisão)",5,2,116622,90.1
"Bet365",0,0,108229,98.3
"Fundação Padre Anchieta",0,0,104714,86.7
"Esaú e Jacó",0,0,104302,95.9
"Copa América de 2021",182,43,101993,65.4
"Lista de episódios de Naruto Shippuden",0,0,100488,75.8
"Christian Eriksen",28,16,98031,87.2
"Dez Mandamentos",0,0,96093,78.6
"Países Baixos",0,0,96040,78.9
"Lista de presidentes do Brasil",10,3,95951,72.8
"Jair Bolsonaro",20,8,95568,75.6
"Ismael",5,4,92035,93.5
"Geração Y",11,9,91883,74.8
"Meditação",1,1,91633,80.8
"Geração Z",9,8,88647,78.6
"Olivia Rodrigo",39,22,88022,75.9
"Portugal",3,2,86728,68.1
"Nise Yamaguchi",33,14,86602,78.5
"Estados Unidos",9,6,86463,72.1
"Seleção Brasileira de Futebol",102,25,86319,75.1
"Dia dos Namorados",2,2,85698,88.4
"Abraão",0,0,84964,89.2
"Ed e Lorraine Warren",1,1,83383,85.3
"Tabela periódica",0,0,82279,43.2
"Métodos de suicídio",1,1,82195,88.1
"Isabel II do Reino Unido",4,3,81661,83.0
"Lista de assassinos em série por número de vítimas",10,7,80485,78.1
"Otto Alencar",1,1,78326,74.7
"Isaac",0,0,76858,94.3
"Segunda Guerra Mundial",12,6,76816,69.9
"Lista de episódios de Miraculous: As Aventuras de Ladybug",87,10,74619,75.1
"Carlos Wizard Martins",27,17,73071,69.8
"Galinha Pintadinha",0,0,72195,97.6
"Neymar",15,4,71983,78.7
"Maiores artilheiros em seleções de futebol por país",80,12,71828,83.4
"Santo António de Lisboa",7,4,71238,80.1
"Loki",2,2,70895,82.5
"Artur Xexéo",32,19,69985,88.0
"Caso Evandro",12,6,69878,80.0
"Copa do Mundo FIFA de 2022",0,0,69271,76.1
"Élite (série de televisão)",65,16,68772,82.8
"Copa do Mundo FIFA de 2018",0,0,68022,74.4
"Bussunda",3,3,67054,82.2
"Novak Djokovic",29,8,67009,85.9
"Silvio Santos",6,6,66610,85.9
"Gênesis (telenovela)",43,11,66564,84.8
"Comidas típicas de festa junina",0,0,65019,85.2
"Mortes em junho de 2021",127,24,64165,59.9
"Lázaro Barbosa de Souza",7,4,62975,82.8
"Randolfe Rodrigues",21,8,62729,79.4
"Rebeca",4,2,62708,95.7
"4 de Julho Esporte Clube",25,15,62115,83.9
"Leonardo Pareja",3,2,61869,86.4
"Hierarquia militar do Brasil",1,1,61788,75.3
"TV Vitória",2,1,61606,52.7
"A Viagem (1994)",23,12,61572,87.0
"Adolf Hitler",7,5,61130,74.5
"Lionel Messi",24,12,60953,78.7
"Liga das Nações de Voleibol Masculino de 2021",116,9,60379,71.2
"Jogos Olímpicos de Verão de 2020",10,4,60377,62.6
"Jacó",4,3,60350,92.4
"WhatsApp",1,1,59534,20.3
"Campeonato Europeu de Futebol de 2016",1,1,59134,69.3
"Loki (série de televisão)",52,4,59075,69.7
"Clube de Regatas do Flamengo",19,9,58860,75.6
"G7",5,4,58393,78.9
"Primeira Guerra Mundial",6,4,58035,71.1
"Seleção Portuguesa de Futebol",39,19,58028,76.9
"LGBT",4,4,57652,77.5
"Copa do Brasil de Futebol",12,7,57610,76.4
"Macedónia do Norte",1,1,56326,77.7
"Elon Musk",6,5,55915,76.9
"Salve-se Quem Puder (telenovela)",55,17,55821,84.9
"Festa junina",0,0,55227,80.2
"Supremo Tribunal Federal",3,2,55204,71.0
"Krzysztof Kieślowski",8,6,55012,52.8
"Copa do Brasil de Futebol de 2021",103,19,54857,60.3
"Carles Puigdemont",1,1,54196,0.3
"Faustão",?,?,53612,NaN
"Comunismo",?,?,53245,NaN
"BTS",?,?,52015,NaN
"Rafael Nadal",?,?,51889,NaN
"Luiz Inácio Lula da Silva",?,?,51549,NaN
"Nazismo",?,?,51488,NaN
"São Paulo",?,?,51457,NaN
"Hungria",?,?,50860,NaN
"Liga dos Campeões da UEFA",?,?,50632,NaN
"IPhone",?,?,50527,NaN
"Império (telenovela)",?,?,50046,NaN
"Peaky Blinders",?,?,49900,NaN
"YouTube",?,?,49580,NaN
"Seleção Brasileira de Voleibol Masculino",?,?,49508,NaN
"Reino Unido",?,?,48939,NaN
"Roberto Baggio",?,?,48722,NaN
"Lista de campeões em simples de torneios do Grand Slam",?,?,48368,NaN
"Power Couple (5.ª temporada)",?,?,48061,NaN
"Natalia Pasternak",?,?,48048,NaN
"Lista de municípios de Minas Gerais por população",?,?,47852,NaN
"Gênero não binário",?,?,47751,NaN
"Diego Aguirre",?,?,47559,NaN
"National Basketball Association",?,?,46964,NaN
"Esaú",?,?,46927,NaN
"Tiago Henrique Gomes da Rocha",?,?,46549,NaN
"Ricardo Barros",?,?,46540,NaN
"Camila Amado",?,?,46372,NaN
"Lista de municípios do Brasil acima de cem mil habitantes",?,?,46071,NaN
"Gabriel Barbosa",?,?,45894,NaN
"Jogos Olímpicos",?,?,45832,NaN
"Rogério Caboclo",?,?,45665,NaN
"Argentina",?,?,45581,NaN
"Festa junina no Brasil",?,?,45124,NaN
"Adelino Augusto Graça Barbosa Barros",?,?,44806,NaN
"Grey's Anatomy",?,?,44739,NaN
"Queer",?,?,44682,NaN
"Freddie Mercury",?,?,44610,NaN
"Ku Klux Klan",?,?,44537,NaN
"Roger Federer",?,?,44491,NaN
"Now United",?,?,44466,NaN
"Ciro Gomes",?,?,44154,NaN
"Rio de Janeiro",?,?,44143,NaN
"Julgamento de Arne Cheyenne Johnson",?,?,44124,NaN
"Inglaterra",?,?,44072,NaN
"Lista de municípios de São Paulo por população",?,?,43940,NaN
"Eclipse solar",?,?,43674,NaN
"Sylvinho",?,?,43512,NaN
"Pepe (futebolista)",?,?,43466,NaN
"Alemanha",?,?,43450,NaN
"Marie Curie",?,?,43439,NaN
"Mozart Santos",?,?,43423,NaN
"Pandemia de COVID-19",?,?,43386,NaN
"Cabo Verde",?,?,43342,NaN
"Eliminatórias da Copa do Mundo FIFA de 2022",?,?,43199,NaN
"Liga das Nações de Voleibol Feminino de 2021",?,?,43150,NaN
"D. B. Cooper",?,?,43136,NaN
"Gerson Santos da Silva",?,?,43001,NaN
"São Paulo Futebol Clube",?,?,42987,NaN
"Lista de contas mais seguidas no Instagram",?,?,42968,NaN
"Rússia",?,?,42405,NaN
"Renascimento",?,?,42280,NaN
"Dia de Portugal, de Camões e das Comunidades Portuguesas",?,?,42152,NaN
"O Salvador da Pátria",?,?,42085,NaN
"Azerbaijão",?,?,41934,NaN
"Finais da NBA",?,?,41810,NaN
"João Batista",?,?,41740,NaN
"Karl Marx",?,?,41737,NaN
"França",?,?,41700,NaN
"Leonardo (cantor)",?,?,41685,NaN
